title,date,time,address,zip_code,description,group_id,user_id
Steubenville East Youth Conference,2025-07-27,11:00,55 Joy Drive,05403,,3,2
Chicken BBQ,2025-07-27,12:00,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-07-28,18:00,55 Joy Drive,05403,,3,2
Cor Formation,2025-07-28,18:30,55 Joy Drive,05403,,3,2
Saint Anne’s Shrine Summer Reflection Series 2025,2025-07-30,11:15,Saint Anne’s Shrine,05488,,3,2
Bible Study,2025-07-30,12:00,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-07-31,09:45,55 Joy Drive,05403,,3,2
First Saturday Devotions,2025-08-02,07:30,55 Joy Drive,05403,,3,2
"First Saturday Mass at Our Lady of Seven Dolors, Fair Haven",2025-08-02,07:30,"Our Lady of Seven Dolors, Fair Haven",05743,,3,2
First Saturday Mass at Holy Family,2025-08-02,08:00,Holy Family Parish,05401,,3,2
Eucharistic Healing Service,2025-08-03,15:00,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-04,18:00,55 Joy Drive,05403,,3,2
Saint Anne’s Shrine Summer Reflection Series 2025,2025-08-06,11:15,Saint Anne’s Shrine,05488,,3,2
Bible Study,2025-08-06,12:00,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-07,09:45,55 Joy Drive,05403,,3,2
St. Padre Pio Prayer Group,2025-08-09,08:00,55 Joy Drive,05403,,3,2
Feast of St. Lawrence Celebration,2025-08-09,17:30,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-11,18:00,55 Joy Drive,05403,,3,2
Saint Anne’s Shrine Summer Reflection Series 2025,2025-08-13,11:15,Saint Anne’s Shrine,05488,,3,2
Bible Study,2025-08-13,12:00,55 Joy Drive,05403,,3,2
St. John Henry Newman Series of Sermon Seminars,2025-08-13,18:30,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-14,09:45,55 Joy Drive,05403,,3,2
Chicken Pie Supper,2025-08-14,17:00,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-18,18:00,55 Joy Drive,05403,,3,2
Saint Anne’s Shrine Summer Reflection Series 2025,2025-08-20,11:15,Saint Anne’s Shrine,05488,,3,2
Bible Study,2025-08-20,12:00,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-21,09:45,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-25,18:00,55 Joy Drive,05403,,3,2
Cor Formation,2025-08-25,18:30,55 Joy Drive,05403,,3,2
Saint Anne’s Shrine Summer Reflection Series 2025,2025-08-27,11:15,Saint Anne’s Shrine,05488,,3,2
Bible Study,2025-08-27,12:00,55 Joy Drive,05403,,3,2
Catechism in a Year(ish),2025-08-28,09:45,55 Joy Drive,05403,,3,2
Our Lady’s Kitchen: A Meal with a Movie,2025-08-28,18:00,55 Joy Drive,05403,,3,2
Marriage Encounter Family Camp-Out and Picnic,2025-08-30,09:00,55 Joy Drive,05403,,3,2
